word,review_text
bug,esse jogo  timo e bem viciante o nico bug que percebi foi que eu perdi metade das coisas que eu tinha na nave incluindo os personagens
fps,jogo espetacular realmente superou minhas expectativas justamente pelo fato de apesar de ser curto  muuuuuuuuuuito divertido recomendo a quiser e puder jogar obs roda at numa calculadora joguei num celeron b800 e peguei 30 fps cravado sem instabilidade
fps,jogo de fps maneiro e gratificante para pessoas que curtem fps por que  fps e a o mesmo tempo no parece mais para mim pelo menos o modo em nveis desse jogo e muito divertido mais o modo histria eu no sei dizer tanto assim sobre ele mais eu s sei que eu t muito feliz com o relic hunters zero ou rhz que pode ser um jogo muito legal para todo mundo e tambm pode ser bem divertido para muitos tambm e eu realmente espero que esses desenvolvedores brasileiros faam total sucesso j que fazem jogos to bons e a empresa ou o estdio deles tambm  bem legal mais  divertido e recomendo esse game pelos nveis o modo histria e o modo livre e quando lanar vai ser ou pode ser bom mais no final de tudo o que importa  que esse jogo  pelo menos para mim um dos que esto muito legal at agora
fps,jogo de fps maneiro e gratificante para pessoas que curtem fps por que  fps e a o mesmo tempo no parece mais para mim pelo menos o modo em nveis desse jogo e muito divertido mais o modo histria eu no sei dizer tanto assim sobre ele mais eu s sei que eu t muito feliz com o relic hunters zero ou rhz que pode ser um jogo muito legal para todo mundo e tambm pode ser bem divertido para muitos tambm e eu realmente espero que esses desenvolvedores brasileiros faam total sucesso j que fazem jogos to bons e a empresa ou o estdio deles tambm  bem legal mais  divertido e recomendo esse game pelos nveis o modo histria e o modo livre e quando lanar vai ser ou pode ser bom mais no final de tudo o que importa  que esse jogo  pelo menos para mim um dos que esto muito legal at agora
fps,jogo de fps maneiro e gratificante para pessoas que curtem fps por que  fps e a o mesmo tempo no parece mais para mim pelo menos o modo em nveis desse jogo e muito divertido mais o modo histria eu no sei dizer tanto assim sobre ele mais eu s sei que eu t muito feliz com o relic hunters zero ou rhz que pode ser um jogo muito legal para todo mundo e tambm pode ser bem divertido para muitos tambm e eu realmente espero que esses desenvolvedores brasileiros faam total sucesso j que fazem jogos to bons e a empresa ou o estdio deles tambm  bem legal mais  divertido e recomendo esse game pelos nveis o modo histria e o modo livre e quando lanar vai ser ou pode ser bom mais no final de tudo o que importa  que esse jogo  pelo menos para mim um dos que esto muito legal at agora
fps,um jogo brasileiro muito bom   musica 1010  jogabilidade 1010 compatibilidade total com controle de ps ou xbox tanto pra jogar junto no teclado e mouse  historia 910 ta muito bem feito depende de como vc a interpretar   tempo de jogo moderado leva algum tempo pra vc pegar o jeito e zerar mas  muito melhor com um amigo que saiba  requisitos pra jogar qualquer pc roda se tu tiver um bem coco vai ter sorte se chegar nos 10 fps
lag,este jogo me marcou no corao foi o primeiro jogo que eu joguei da steam se vc procura um jogo de ao 2d e no tem dinheiro eu recomendo esse jogo sobre o game grficos os grficos dos jogos no so o mais importantesmas graas esses grficosotimizao me fez poder rodar esse jogo quase sem lag e so pixelados o que me deixa feliz   mas isso depende da opinio de cada um eu acho gameplay a gameplay desse jogo e muito boatambm esqueci de mencionar que esse jogo e muito bom para passar o tempo um estilo 25d a jogabilidade tambm e muito boa voc controla a arma pelo mouse e sai atirando em todo mundo que vc v na frente sem contar o workshop da steam e o multiplayer vou tentar atualizar quando possvel
bug,para quem esse jogo foi desenvolvido   espermatozides   crianas x tudo e todos   adolescentes   adultos texturas grficos lindeza   220 x 120p   meia boca tem piores   dentro da mdia atual x bonito e agradvel   meu olho no aguenta essa qualidade incrvel bugs   o jogo em si  uma falha   bug pra todo lado tipo tiro em favela no rio   alguns bugs mas d pra jogar x bugs que no atrapalham   sem bugs notveis  difcil   basta assisitr o jogo   da pra zerar jogando num volante   padro bem de boa x bem desafiador as vezes difcil   muito dificil   vai chorar dar rage e bater na me at conseguir ser pro durao do jogo base   piscou acabou   15 minutos d x entre 25 horinhas   entre 612 horas   muito tempo no minimo umas 30 horas   at enjoar do jogo histria   nunca nem vi   no tem um pubg da vida   tem histria s para no dizer que no tem x d para gostar da histria se esforando    cuidado para no se apaixonarporm  meio confusa   dava para fazer um livro msicas   era melhor sem x da pra escutar no baixo   boa   os caras capricharam no udio   baixe a playlist pra escutar no nibus requisitos do pc x computador da minha av   mnimo   mdio   rpido   computador da nasa para melhor experincia   desinstalar   o jogo  offline x singleplayer   coop   multiplayer   h apenas multiplayer me arrependo de ter comprado   sim com certeza x  no
fps,o jogo  bommas os tiros atravessam os inimigosfazendo vc perder escudo ou ate vida edio depois do update meu deus esse jogo t incrivel melhoraram ele bastante nem parece o mesmo jogo que era antes melhoraram as hitboxes otimizaram demais as fases no tendo mais fases que iam de 6 fps a 15 fps no maximo a unica reclamao que tenho  que o infinito fica impossivel depois do primeiro loop tirando isso o jogo  lindo cheiroso e balanceado
fps,o jogo  bommas os tiros atravessam os inimigosfazendo vc perder escudo ou ate vida edio depois do update meu deus esse jogo t incrivel melhoraram ele bastante nem parece o mesmo jogo que era antes melhoraram as hitboxes otimizaram demais as fases no tendo mais fases que iam de 6 fps a 15 fps no maximo a unica reclamao que tenho  que o infinito fica impossivel depois do primeiro loop tirando isso o jogo  lindo cheiroso e balanceado
